gene_id	DMSO_Rep1	DMSO_Rep2	DMSO_Rep3	DrugA_Rep1	DrugA_Rep2	DrugA_Rep3	DrugB_Rep1	DrugB_Rep2	DrugB_Rep3	DrugC_Rep1	DrugC_Rep2	DrugC_Rep3
ENSG00000000003	6	7	4	4	1	4	7	4	5	5	1	6
ENSG00000000419	1105	1872	1259	1110	1089	933	1003	961	838	981	946	963
ENSG00000000457	767	1307	963	793	904	878	767	841	714	848	789	728
ENSG00000000460	1349	1792	1262	1315	1319	1103	1125	1165	969	1147	1095	1055
ENSG00000000938	277	601	414	315	349	388	578	619	486	658	579	410
ENSG00000000971	38	71	59	454	506	436	45	49	44	50	37	47
ENSG00000001036	2530	3741	2868	2408	2469	2245	2244	2149	1787	2538	2113	2087
ENSG00000001084	537	866	596	697	741	651	586	503	483	611	643	542
ENSG00000001167	4302	6488	4412	4803	4833	4231	3971	3639	3349	4025	3531	3845
ENSG00000001460	110	153	122	82	80	70	92	119	114	135	114	101
ENSG00000001461	1051	1811	1289	952	1072	990	1156	1335	1119	1334	1308	1076
ENSG00000001497	2811	4152	3161	2769	2908	2450	2486	2321	2081	2360	2131	2296
ENSG00000001617	129	260	207	138	113	125	159	124	102	166	161	98
ENSG00000001629	1730	2747	2047	1851	2087	1797	1981	1901	1656	2178	1879	1651
ENSG00000001630	18627	34208	23852	11979	12703	12395	13865	15425	11697	16646	16850	14976
ENSG00000001631	1224	2211	1352	1440	1430	1280	1762	1762	1576	1930	1618	1487
ENSG00000002016	561	966	659	712	765	670	852	760	716	910	790	760
ENSG00000002330	302	575	526	343	422	369	352	344	315	392	324	277
ENSG00000002549	2272	3571	2642	3423	3710	3186	2203	1845	1844	2143	2092	1840
ENSG00000002586	2173	3849	3395	2905	3202	3069	2561	2476	2109	2597	2720	2229
ENSG00000002587	11	5	5	6	4	12	6	12	19	20	10	3
ENSG00000002726	29	29	20	36	34	39	40	49	64	55	31	42
ENSG00000002746	36	68	39	33	44	43	63	63	55	57	48	56
ENSG00000002822	1552	2617	2249	1786	1791	1587	1533	1457	1317	1799	1525	1456
ENSG00000002834	8892	15209	11138	10541	11374	10700	9549	9729	7901	10827	9409	8360
ENSG00000002919	1411	2507	1951	1552	1592	1480	1383	1406	1216	1589	1481	1290
ENSG00000002933	18	39	32	39	46	33	33	51	46	61	48	41
ENSG00000003056	9763	15259	10597	9947	10595	9168	9545	9252	8143	10072	9049	8929
ENSG00000003096	251	364	250	177	198	158	196	173	137	172	161	201
ENSG00000003147	93	109	101	74	58	50	80	92	60	99	84	90
ENSG00000003249	175	301	211	123	107	137	196	172	127	177	192	137
ENSG00000003393	1238	1886	1445	965	1008	893	1120	1301	1028	1308	1220	1117
ENSG00000003400	1032	1962	1348	1245	1250	1252	1081	1230	1028	1230	1130	995
ENSG00000003402	8029	13105	7796	9958	10202	9021	8961	10013	8461	10379	8560	8276
ENSG00000003436	647	1149	599	1095	1067	888	910	1041	796	1158	828	893
ENSG00000003509	559	872	630	629	645	576	561	506	487	558	524	537
ENSG00000003756	4969	8373	6019	6331	6530	5874	5683	6098	5308	6671	5736	5548
ENSG00000003987	17	13	14	14	29	8	14	13	11	16	7	10
ENSG00000004059	1300	1847	1705	1459	1537	1433	1214	1247	1144	1295	1253	1175
ENSG00000004139	108	201	114	134	155	137	116	103	105	153	135	129
ENSG00000004142	3635	5403	4275	3841	4234	3505	3341	2908	2784	3201	2990	2982
ENSG00000004399	11528	19389	13576	10774	11272	10527	12501	12213	10819	14411	11683	11610
ENSG00000004455	21534	35104	24734	18119	19317	17301	20868	20733	17147	23043	20795	19576
ENSG00000004468	78	133	104	142	222	164	273	210	201	208	236	155
ENSG00000004478	9205	12882	10274	6724	7521	6058	6160	5411	5040	6035	5694	5928
ENSG00000004487	4800	7178	5278	4644	4884	4162	4125	3917	3546	4324	4108	3841
ENSG00000004534	2903	4608	3396	3569	3827	3278	2597	2447	2211	2720	2424	2451
ENSG00000004660	610	1137	847	556	564	495	722	784	631	814	730	642
ENSG00000004700	3478	5577	4053	5150	5670	4931	3603	3422	3176	3436	3596	3398
ENSG00000004766	766	1347	872	1187	1263	1129	793	827	737	864	893	811
ENSG00000004776	6	3	7	7	5	5	7	10	4	7	4	5
ENSG00000004777	1310	2306	1794	1644	1621	1472	1480	1704	1394	1877	1600	1332
ENSG00000004779	1538	2454	1910	1623	1798	1455	1487	1392	1325	1461	1481	1325
ENSG00000004799	4	4	2	3	4	5	1	1	1	1	2	1
ENSG00000004809	295	418	336	125	85	72	191	195	155	278	219	244
ENSG00000004838	40	63	63	51	51	56	44	51	36	40	44	55
ENSG00000004846	22	42	43	50	56	29	50	56	36	79	64	42
ENSG00000004848	1	3	1	0	3	1	5	2	1	0	1	2
ENSG00000004864	1277	1996	1492	1416	1522	1238	1097	1002	973	1054	1087	1081
ENSG00000004866	539	933	590	466	479	419	415	541	359	490	456	462
ENSG00000004897	6595	10523	5710	6422	6969	6021	5758	5582	4963	6128	5281	5673
ENSG00000004939	8	17	18	10	13	15	30	16	17	24	8	9
ENSG00000004961	828	1129	925	836	833	762	771	652	658	773	683	701
ENSG00000004975	1734	3042	2082	1628	1591	1502	1568	1590	1367	1853	1490	1469
ENSG00000005007	7198	10968	8464	7584	8008	7256	7268	6843	6378	8038	7000	7070
ENSG00000005020	4195	7431	5021	5662	6394	5652	4820	4610	4126	4829	4558	4181
ENSG00000005022	13725	21291	16482	16675	18447	15773	12158	11030	9948	12251	11189	11339
ENSG00000005059	278	402	274	1374	1457	1360	381	247	343	280	259	284
ENSG00000005073	28	27	23	6	13	6	6	5	4	22	10	12
ENSG00000005075	347	578	387	366	366	355	345	305	243	319	271	267
ENSG00000005100	3197	4508	3498	3160	3144	2751	2804	2586	2344	2915	2571	2696
ENSG00000005102	0	1	0	4	7	7	0	0	0	0	0	2
ENSG00000005108	1686	2513	1739	1095	1098	985	1680	2066	1541	2102	1984	1939
ENSG00000005156	3976	5781	4076	4092	4204	3568	4202	3926	3747	4385	3774	3835
ENSG00000005175	1210	1781	1325	1031	1118	957	1063	1120	987	1177	1061	1055
ENSG00000005187	1400	2359	1355	1001	959	896	1386	1740	1232	1750	1458	1438
ENSG00000005189	1375	2267	1663	1271	1288	1183	1116	1185	967	1203	1153	1116
ENSG00000005194	1424	2247	1652	1498	1527	1294	1207	1068	988	1203	1060	1165
ENSG00000005206	4779	7323	6040	5270	5128	4761	4680	4563	4100	5135	4391	4205
ENSG00000005238	417	920	682	623	734	738	632	608	537	681	539	482
ENSG00000005243	63	101	97	65	85	79	55	64	74	64	52	37
ENSG00000005249	441	680	466	1040	1112	1000	617	601	559	650	573	511
ENSG00000005302	1512	2313	1718	1446	1499	1387	1211	1358	980	1375	1279	1135
ENSG00000005339	3135	5362	3730	5098	5175	4600	3980	3705	3241	4175	3186	3324
ENSG00000005379	746	1247	837	975	909	868	835	884	776	890	747	699
ENSG00000005381	374	573	430	311	309	291	283	335	267	422	380	366
ENSG00000005436	551	860	579	603	664	606	587	563	502	599	552	517
ENSG00000005448	776	1508	1138	817	803	926	839	889	696	912	824	664
ENSG00000005469	128	201	160	208	238	182	196	156	157	157	163	171
ENSG00000005471	32	51	49	64	70	54	42	32	35	43	36	32
ENSG00000005483	4994	8934	5753	5285	5340	4910	5510	5790	4923	6524	5242	4526
ENSG00000005486	475	726	624	666	706	610	496	460	406	516	428	417
ENSG00000005700	5088	8238	5820	5484	6157	5428	4958	4750	4259	5134	4724	4702
ENSG00000005801	2709	4321	2843	3524	3586	3192	3065	3050	2755	3072	2729	2890
ENSG00000005810	17585	25757	17679	19369	20820	17274	17878	17721	15667	19486	16987	17132
ENSG00000005812	1946	3438	2547	2235	2217	2167	1994	2053	1729	2180	2279	1939
ENSG00000005844	58365	100203	74292	74604	80560	73473	70352	67374	60066	76103	66306	60424
ENSG00000005882	401	656	564	527	534	481	506	497	382	544	421	433
ENSG00000005884	178	310	260	277	327	275	266	224	213	258	235	251
ENSG00000005889	4082	6458	4488	4581	5019	4297	3754	3589	3422	4074	3860	3553
ENSG00000005893	13579	22438	15104	13434	14632	12839	12631	12954	10934	14118	12421	11971
ENSG00000005961	677	1339	989	923	1039	957	1280	1270	1122	1335	1275	990
ENSG00000005981	2	3	3	4	2	1	0	1	2	0	3	3
